Interface              IP-Address      OK? Method Status                Protocol
Vlan116                10.10.116.1     YES manual down                  down    
Vlan117                10.10.117.1     YES manual down                  down    
Vlan118                10.10.118.1     YES manual down                  down    
Vlan119                10.10.119.1     YES manual down                  down    
Vlan120                10.10.120.1     YES manual down                  down    
Vlan121                10.10.121.1     YES manual down                  down    
Vlan122                10.10.122.1     YES manual down                  down    
Vlan123                10.10.123.1     YES manual down                  down    
Vlan124                10.10.124.1     YES manual down                  down    
Vlan125                10.10.125.1     YES manual down                  down    
Vlan126                10.10.126.1     YES manual down                  down    
Vlan127                10.10.127.1     YES manual down                  down    
Vlan128                10.10.128.1     YES manual down                  down    
Vlan129                10.10.129.1     YES manual down                  down    
Vlan130                10.10.130.1     YES manual down                  down    
Vlan131                10.10.131.1     YES manual down                  down    
Vlan132                10.10.132.1     YES manual down                  down    
Vlan133                10.10.133.1     YES manual down                  down    
Vlan134                10.10.134.1     YES manual down                  down    
Vlan135                10.10.135.1     YES manual down                  down    
Vlan136                10.10.136.1     YES manual down                  down    
Vlan137                10.10.137.1     YES manual down                  down    
Vlan138                10.10.138.1     YES manual down                  down    
Vlan139                10.10.139.1     YES manual down                  down    
Vlan140                10.10.140.1     YES manual down                  down    
Vlan141                10.10.141.1     YES manual down                  down    
Vlan142                10.10.142.1     YES manual down                  down    
Vlan143                10.10.143.1     YES manual down                  down    
Vlan144                10.10.144.1     YES manual down                  down    
Vlan145                10.10.145.1     YES manual down                  down    
Vlan146                10.10.146.1     YES manual down                  down    
Vlan147                10.10.147.1     YES manual down                  down    
Vlan148                10.10.148.1     YES manual down                  down    
Vlan149                10.10.149.1     YES manual down                  down    
Vlan150                10.10.150.1     YES manual down                  down    
Vlan151                10.10.151.1     YES manual down                  down    
Vlan152                10.10.152.1     YES manual down                  down    
Vlan153                10.10.153.1     YES manual down                  down    
Vlan154                10.10.154.1     YES manual down                  down    
Vlan155                10.10.155.1     YES manual down                  down    
Vlan156                10.10.156.1     YES manual down                  down    
Vlan157                10.10.157.1     YES manual down                  down    
Vlan158                10.10.158.1     YES manual down                  down    
Vlan159                10.10.159.1     YES manual down                  down    
Vlan160                10.10.160.1     YES manual down                  down    
Vlan161                10.10.161.1     YES manual down                  down    
Vlan162                10.10.162.1     YES manual down                  down    
Vlan163                10.10.163.1     YES manual down                  down    
Vlan164                10.10.164.1     YES manual down                  down    
Vlan165                10.10.165.1     YES manual down                  down    
Vlan166                10.10.166.1     YES manual down                  down    
Vlan167                10.10.167.1     YES manual down                  down    
Vlan168                10.10.168.1     YES manual down                  down    
Vlan169                10.10.169.1     YES manual down                  down    
Vlan170                10.10.170.1     YES manual down                  down    
Vlan171                10.10.171.1     YES manual down                  down    
Vlan172                10.10.172.1     YES manual down                  down    
Vlan173                10.10.173.1     YES manual down                  down    
Vlan174                10.10.174.1     YES manual down                  down    
Vlan175                10.10.175.1     YES manual down                  down    
Vlan176                10.10.176.1     YES manual down                  down    
Vlan177                10.10.177.1     YES manual down                  down    
Vlan178                10.10.178.1     YES manual down                  down    
Vlan179                10.10.179.1     YES manual down                  down    
Vlan180                10.10.180.1     YES manual down                  down    
Vlan181                10.10.181.1     YES manual down                  down    
Vlan182                10.10.182.1     YES manual down                  down    
Vlan183                10.10.183.1     YES manual down                  down    
Vlan184                10.10.184.1     YES manual down                  down    
Vlan185                10.10.185.1     YES manual down                  down    
Vlan186                10.10.186.1     YES manual down                  down    
Vlan187                10.10.187.1     YES manual down                  down    
Vlan188                10.10.188.1     YES manual down                  down    
Vlan189                10.10.189.1     YES manual down                  down    
Vlan190                10.10.190.1     YES manual down                  down    
Vlan191                10.10.191.1     YES manual down                  down    
Vlan192                10.10.192.1     YES manual down                  down    
Vlan193                10.10.193.1     YES manual down                  down    
Vlan194                10.10.194.1     YES manual down                  down    
Vlan195                10.10.195.1     YES manual down                  down    
Vlan196                10.10.196.1     YES manual down                  down    
Vlan197                10.10.197.1     YES manual down                  down    
Vlan198                10.10.198.1     YES manual down                  down    
Vlan199                10.10.199.1     YES manual down                  down    
Vlan200                10.10.200.1     YES manual down                  down    
